Type,Subtype,Country,Sugar_Content,Price,Sweetness
Beverages,Beverages,CZECH REPUBLIC,5,2,NA
Beverages,Beverages,BELGIUM,5,13,NA
Beverages,Beverages,CANADA,6,8,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,BELGIUM,10,4,NA
Beverages,Beverages,CANADA,6,24,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,JAMAICA,5,12,0
Beverages,Beverages,NETHERLANDS,5,13,NA
Beverages,Beverages,CANADA,7,6,NA
Beverages,Beverages,CANADA,5,32,NA
Beverages,Beverages,CANADA,6,20,NA
Beverages,Beverages,CHINA,5,10,NA
Beverages,Beverages,MEXICO,5,13,NA
Beverages,Beverages,UNITED STATES OF AMERICA,7,7,NA
Beverages,Beverages,UNITED STATES OF AMERICA,5,32,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,BELGIUM,7,16,NA
Beverages,Beverages,TRINIDAD AND TOBAGO,5,12,NA
Beverages,Beverages,POLAND,6,3,NA
Beverages,Beverages,CZECH REPUBLIC,4,14,NA
Beverages,Beverages,CANADA,7,6,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,7,6,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,MEXICO,5,25,NA
Beverages,Beverages,ITALY,5,14,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,4,25,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,UNITED STATES OF AMERICA,6,13,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,UNITED KINGDOM,7,15,NA
Beverages,Beverages,CANADA,4,23,NA
Beverages,Beverages,CANADA,6,5,NA
Beverages,Beverages,CANADA,5,14,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,CANADA,5,12,0
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,DENMARK,6,11,NA
Beverages,Beverages,CANADA,8,7,NA
Beverages,Beverages,DENMARK,8,2,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,CANADA,5,35,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,CANADA,5,36,NA
Beverages,Beverages,CANADA,4,18,NA
Beverages,Beverages,CANADA,7,8,NA
Beverages,Beverages,GERMANY,5,13,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,UNITED KINGDOM,5,9,NA
Beverages,Beverages,CANADA,5,2,NA
Beverages,Beverages,CANADA,7,13,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CZECH REPUBLIC,4,10,NA
Beverages,Beverages,CANADA,5,22,NA
Beverages,Beverages,CANADA,5,22,NA
Beverages,Beverages,CANADA,9,9,NA
Beverages,Beverages,CANADA,6,5,0
Beverages,Beverages,UNITED STATES OF AMERICA,6,16,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,BELGIUM,4,3,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,75,NA
Beverages,Beverages,CANADA,5,24,NA
Beverages,Beverages,CANADA,5,22,NA
Beverages,Beverages,CANADA,8,9,NA
Beverages,Beverages,CANADA,8,9,NA
Beverages,Beverages,CANADA,6,13,NA
Beverages,Beverages,UNITED KINGDOM,5,4,NA
Beverages,Beverages,CANADA,6,6,NA
Beverages,Beverages,UNITED STATES OF AMERICA,8,9,NA
Beverages,Beverages,MEXICO,5,13,NA
Beverages,Beverages,MEXICO,5,13,NA
Beverages,Beverages,CANADA,5,7,NA
Beverages,Beverages,CANADA,6,26,NA
Beverages,Beverages,GERMANY,5,2,0
Beverages,Beverages,CANADA,7,6,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,KOREA - SOUTH,5,11,NA
Beverages,Beverages,CANADA,8,6,NA
Beverages,Beverages,ITALY,5,5,NA
Beverages,Beverages,CANADA,6,13,NA
Beverages,Beverages,CZECH REPUBLIC,4,3,NA
Beverages,Beverages,CANADA,5,11,NA
Beverages,Beverages,GERMANY,5,3,NA
Beverages,Beverages,CANADA,5,6,NA
Beverages,Beverages,GERMANY,5,3,NA
Beverages,Beverages,GERMANY,7,3,NA
Beverages,Beverages,CANADA,5,7,NA
Beverages,Beverages,CANADA,7,13,NA
Beverages,Beverages,GERMANY,5,2,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,UNITED KINGDOM,4,11,NA
Beverages,Beverages,BELGIUM,5,15,NA
Beverages,Beverages,CANADA,8,8,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,20,NA
Beverages,Beverages,UNITED KINGDOM,4,4,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,UNITED STATES OF AMERICA,6,15,NA
Beverages,Beverages,JAPAN,5,13,NA
Beverages,Beverages,CANADA,6,8,NA
Beverages,Beverages,UNITED STATES OF AMERICA,5,13,NA
Beverages,Beverages,CANADA,5,56,NA
Beverages,Beverages,CANADA,5,56,NA
Beverages,Beverages,CANADA,8,8,NA
Beverages,Beverages,POLAND,6,3,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,IRELAND,5,22,NA
Beverages,Beverages,CANADA,6,25,NA
Beverages,Beverages,CANADA,4,25,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,9,NA
Beverages,Beverages,CANADA,5,18,NA
Beverages,Beverages,CANADA,5,24,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,UNITED KINGDOM,5,4,NA
Beverages,Beverages,UNITED KINGDOM,5,2,NA
Beverages,Beverages,CANADA,9,6,NA
Beverages,Beverages,CANADA,7,5,NA
Beverages,Beverages,UNITED KINGDOM,7,16,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,UNITED STATES OF AMERICA,5,7,1
Beverages,Beverages,CANADA,8,5,NA
Beverages,Beverages,CANADA,5,17,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,5,4,NA
Beverages,Beverages,CANADA,8,9,NA
Beverages,Beverages,UNITED STATES OF AMERICA,11,19,NA
Beverages,Beverages,BELGIUM,7,4,NA
Beverages,Beverages,CANADA,10,9,NA
Beverages,Beverages,CANADA,6,6,NA
Beverages,Beverages,MEXICO,5,13,NA
Beverages,Beverages,CANADA,8,5,NA
Beverages,Beverages,CANADA,7,70,NA
Beverages,Beverages,CANADA,5,24,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,MEXICO,5,13,NA
Beverages,Beverages,JAPAN,5,12,0
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,6,9,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,MEXICO,5,13,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,BELGIUM,7,7,NA
Beverages,Beverages,BELGIUM,9,8,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,3,22,NA
Beverages,Beverages,CANADA,6,6,NA
Beverages,Beverages,BELGIUM,9,4,NA
Beverages,Beverages,CANADA,5,2,NA
Beverages,Beverages,CANADA,5,20,NA
Beverages,Beverages,NETHERLANDS,5,13,NA
Beverages,Beverages,JAPAN,5,12,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,21,NA
Beverages,Beverages,GERMANY,5,3,NA
Beverages,Beverages,BELGIUM,5,13,NA
Beverages,Beverages,CANADA,6,20,NA
Beverages,Beverages,IRELAND,5,12,NA
Beverages,Beverages,CANADA,8,11,NA
Beverages,Beverages,GERMANY,5,3,NA
Beverages,Beverages,SINGAPORE,5,12,NA
Beverages,Beverages,JAPAN,5,14,NA
Beverages,Beverages,MEXICO,5,5,NA
Beverages,Beverages,IRELAND,4,23,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,CANADA,5,23,0
Beverages,Beverages,CANADA,5,25,NA
Beverages,Beverages,CANADA,6,19,NA
Beverages,Beverages,MEXICO,4,13,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,6,13,NA
Beverages,Beverages,CANADA,4,8,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,5,6,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,20,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,UNITED STATES OF AMERICA,5,16,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,18,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,UNITED STATES OF AMERICA,8,6,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,4,10,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,5,35,NA
Beverages,Beverages,CANADA,5,36,NA
Beverages,Beverages,CANADA,6,12,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,GERMANY,5,15,NA
Beverages,Beverages,CANADA,6,5,NA
Beverages,Beverages,CANADA,5,9,NA
Beverages,Beverages,UNITED KINGDOM,5,4,NA
Beverages,Beverages,UNITED STATES OF AMERICA,7,9,NA
Beverages,Beverages,FRANCE,5,3,NA
Beverages,Beverages,CANADA,9,7,NA
Beverages,Beverages,UNITED STATES OF AMERICA,7,6,NA
Beverages,Beverages,CANADA,6,24,NA
Beverages,Beverages,CANADA,6,6,NA
Beverages,Beverages,CANADA,5,20,0
Beverages,Beverages,CANADA,5,14,NA
Beverages,Beverages,CANADA,5,2,NA
Beverages,Beverages,CANADA,5,2,0
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,UNITED KINGDOM,4,4,NA
Beverages,Beverages,UNITED KINGDOM,5,4,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,CANADA,7,6,NA
Beverages,Beverages,CANADA,5,5,NA
Beverages,Beverages,CANADA,5,16,NA
Beverages,Beverages,CANADA,5,9,NA
Beverages,Beverages,CANADA,5,6,NA
Beverages,Beverages,UNITED KINGDOM,9,7,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,6,2,NA
Beverages,Beverages,CANADA,7,6,NA
Beverages,Beverages,ITALY,5,13,NA
Beverages,Beverages,CANADA,5,6,NA
Beverages,Beverages,UNITED STATES OF AMERICA,5,15,NA
Beverages,Beverages,MEXICO,5,8,NA
Beverages,Beverages,CANADA,5,9,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,4,22,NA
Beverages,Beverages,DENMARK,5,3,NA
Beverages,Beverages,GERMANY,5,2,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CHINA,5,11,0
Beverages,Beverages,TURKEY,5,12,NA
Beverages,Beverages,UNITED STATES OF AMERICA,5,13,NA
Beverages,Beverages,ICELAND,5,2,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,5,19,NA
Beverages,Beverages,GERMANY,5,2,NA
Beverages,Beverages,UNITED STATES OF AMERICA,6,5,NA
Beverages,Beverages,CANADA,9,7,NA
Beverages,Beverages,UNITED STATES OF AMERICA,6,14,NA
Beverages,Beverages,NETHERLANDS,5,2,NA
Beverages,Beverages,CANADA,5,23,NA
Beverages,Beverages,GERMANY,5,10,NA
Beverages,Beverages,UNITED STATES OF AMERICA,4,25,NA
Beverages,Beverages,IRELAND,4,14,NA
Beverages,Beverages,CANADA,6,23,NA
Beverages,Beverages,CANADA,4,20,NA
Beverages,Beverages,NETHERLANDS,5,13,NA
Beverages,Beverages,UNITED KINGDOM,5,11,NA
Beverages,Beverages,SPAIN,5,7,NA
Beverages,Beverages,CANADA,7,12,NA
Beverages,Beverages,CANADA,6,20,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,6,24,NA
Beverages,Beverages,BELGIUM,8,4,0
Beverages,Beverages,CANADA,5,6,NA
Beverages,Beverages,CANADA,3,24,NA
Beverages,Beverages,CANADA,5,13,0
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,6,8,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,5,8,NA
Beverages,Beverages,CANADA,5,12,NA
Beverages,Beverages,CANADA,6,8,NA
Beverages,Beverages,CANADA,5,9,NA
Beverages,Beverages,CANADA,5,10,NA
Beverages,Beverages,CANADA,6,23,NA
Beverages,Beverages,CANADA,5,35,NA
Beverages,Beverages,CANADA,5,24,NA
Beverages,Beverages,CANADA,5,35,NA
Beverages,Beverages,CANADA,6,8,NA
Beverages,Beverages,CANADA,5,13,NA
Beverages,Beverages,CANADA,9,13,NA
Beverages,Beverages,CANADA,4,22,NA
Beverages,Beverages,CANADA,5,22,NA
Beverages,Beverages,CANADA,5,6,NA
Beverages,Beverages,CANADA,6,6,NA
Beverages,Beverages,PORTUGAL,6,2,NA
Beverages,Beverages,UNITED STATES OF AMERICA,5,15,NA
Beverages,Beverages,UNITED KINGDOM,5,4,NA
Beverages,Beverages,CANADA,6,9,NA
